Energy N
0 3284
0.00125 0
0.0025 0
0.00375 0
0.005 0
0.00625 0
0.0075 0
0.00875 39
0.01 11
0.01125 0
0.0125 0
0.01375 0
0.015 0
0.01625 1
0.0175 0
0.01875 1
0.02 1
0.02125 0
0.0225 0
0.02375 0
0.025 0
0.02625 1
0.0275 1
0.02875 0
0.03 1
0.03125 0
0.0325 0
0.03375 0
0.035 1
0.03625 1
0.0375 0
0.03875 1
0.04 0
0.04125 0
0.0425 2
0.04375 1
0.045 1
0.04625 0
0.0475 0
0.04875 2
0.05 0
0.05125 3
0.0525 0
0.05375 1
0.055 1
0.05625 2
0.0575 5
0.05875 2
0.06 5
0.06125 5
0.0625 7
0.06375 2
0.065 4
0.06625 6
0.0675 3
0.06875 8
0.07 11
0.07125 15
0.0725 11
0.07375 15
0.075 11
0.07625 5
0.0775 5
0.07875 5
0.08 16
0.08125 7
0.0825 7
0.08375 12
0.085 7
0.08625 11
0.0875 9
0.08875 13
0.09 11
0.09125 18
0.0925 18
0.09375 12
0.095 9
0.09625 15
0.0975 22
0.09875 22
0.1 11
0.10125 13
0.1025 20
0.10375 17
0.105 22
0.10625 17
0.1075 18
0.10875 15
0.11 14
0.11125 11
0.1125 22
0.11375 17
0.115 31
0.11625 11
0.1175 20
0.11875 24
0.12 20
0.12125 31
0.1225 25
0.12375 15
0.125 28
0.12625 21
0.1275 16
0.12875 30
0.13 15
0.13125 25
0.1325 32
0.13375 28
0.135 22
0.13625 21
0.1375 22
0.13875 30
0.14 36
0.14125 27
0.1425 24
0.14375 26
0.145 22
0.14625 16
0.1475 25
0.14875 24
0.15 17
0.15125 27
0.1525 29
0.15375 18
0.155 23
0.15625 24
0.1575 39
0.15875 31
0.16 32
0.16125 26
0.1625 22
0.16375 27
0.165 18
0.16625 23
0.1675 30
0.16875 33
0.17 32
0.17125 24
0.1725 28
0.17375 25
0.175 15
0.17625 18
0.1775 15
0.17875 31
0.18 25
0.18125 26
0.1825 26
0.18375 28
0.185 22
0.18625 24
0.1875 23
0.18875 26
0.19 31
0.19125 29
0.1925 16
0.19375 15
0.195 32
0.19625 37
0.1975 34
0.19875 25
0.2 21
0.20125 24
0.2025 19
0.20375 22
0.205 27
0.20625 25
0.2075 20
0.20875 18
0.21 20
0.21125 29
0.2125 22
0.21375 19
0.215 25
0.21625 16
0.2175 24
0.21875 24
0.22 29
0.22125 34
0.2225 28
0.22375 13
0.225 14
0.22625 20
0.2275 27
0.22875 22
0.23 25
0.23125 17
0.2325 22
0.23375 19
0.235 17
0.23625 22
0.2375 20
0.23875 22
0.24 20
0.24125 28
0.2425 26
0.24375 24
0.245 15
0.24625 16
0.2475 13
0.24875 18
0.25 19
0.25125 14
0.2525 8
0.25375 20
0.255 15
0.25625 11
0.2575 19
0.25875 12
0.26 24
0.26125 10
0.2625 35
0.26375 21
0.265 21
0.26625 18
0.2675 17
0.26875 17
0.27 21
0.27125 14
0.2725 12
0.27375 12
0.275 27
0.27625 14
0.2775 13
0.27875 15
0.28 16
0.28125 12
0.2825 19
0.28375 16
0.285 17
0.28625 16
0.2875 12
0.28875 13
0.29 15
0.29125 15
0.2925 12
0.29375 13
0.295 20
0.29625 7
0.2975 12
0.29875 14
0.3 19
0.30125 9
0.3025 20
0.30375 14
0.305 10
0.30625 16
0.3075 7
0.30875 11
0.31 21
0.31125 15
0.3125 20
0.31375 11
0.315 14
0.31625 17
0.3175 12
0.31875 11
0.32 12
0.32125 16
0.3225 12
0.32375 21
0.325 17
0.32625 9
0.3275 14
0.32875 14
0.33 8
0.33125 13
0.3325 23
0.33375 3
0.335 18
0.33625 4
0.3375 8
0.33875 8
0.34 14
0.34125 4
0.3425 7
0.34375 20
0.345 11
0.34625 6
0.3475 5
0.34875 9
0.35 10
0.35125 12
0.3525 7
0.35375 13
0.355 7
0.35625 12
0.3575 11
0.35875 8
0.36 6
0.36125 7
0.3625 11
0.36375 15
0.365 11
0.36625 9
0.3675 23
0.36875 8
0.37 5
0.37125 10
0.3725 9
0.37375 2
0.375 12
0.37625 8
0.3775 7
0.37875 1
0.38 5
0.38125 5
0.3825 11
0.38375 10
0.385 16
0.38625 11
0.3875 8
0.38875 9
0.39 7
0.39125 7
0.3925 4
0.39375 13
0.395 12
0.39625 7
0.3975 10
0.39875 10
0.4 9
0.40125 6
0.4025 5
0.40375 10
0.405 8
0.40625 2
0.4075 6
0.40875 9
0.41 11
0.41125 17
0.4125 6
0.41375 8
0.415 6
0.41625 5
0.4175 7
0.41875 7
0.42 10
0.42125 8
0.4225 8
0.42375 6
0.425 3
0.42625 3
0.4275 7
0.42875 5
0.43 6
0.43125 7
0.4325 5
0.43375 6
0.435 7
0.43625 7
0.4375 8
0.43875 9
0.44 7
0.44125 3
0.4425 12
0.44375 11
0.445 7
0.44625 3
0.4475 4
0.44875 14
0.45 12
0.45125 5
0.4525 7
0.45375 8
0.455 18
0.45625 5
0.4575 6
0.45875 5
0.46 8
0.46125 4
0.4625 5
0.46375 0
0.465 11
0.46625 9
0.4675 6
0.46875 3
0.47 4
0.47125 9
0.4725 5
0.47375 7
0.475 12
0.47625 16
0.4775 7
0.47875 6
0.48 3
0.48125 7
0.4825 11
0.48375 10
0.485 1
0.48625 8
0.4875 3
0.48875 4
0.49 10
0.49125 8
0.4925 0
0.49375 13
0.495 9
0.49625 9
0.4975 8
0.49875 9
0.5 13
0.50125 6
0.5025 7
0.50375 8
0.505 7
0.50625 3
0.5075 10
0.50875 4
0.51 175
0.51125 5
0.5125 1
0.51375 2
0.515 7
0.51625 4
0.5175 14
0.51875 5
0.52 5
0.52125 2
0.5225 5
0.52375 0
0.525 3
0.52625 2
0.5275 1
0.52875 6
0.53 4
0.53125 10
0.5325 6
0.53375 7
0.535 4
0.53625 9
0.5375 5
0.53875 8
0.54 7
0.54125 1
0.5425 12
0.54375 5
0.545 7
0.54625 3
0.5475 10
0.54875 3
0.55 5
0.55125 3
0.5525 4
0.55375 3
0.555 2
0.55625 4
0.5575 3
0.55875 5
0.56 0
0.56125 3
0.5625 10
0.56375 2
0.565 1
0.56625 9
0.5675 13
0.56875 7
0.57 3
0.57125 2
0.5725 1
0.57375 10
0.575 4
0.57625 4
0.5775 3
0.57875 0
0.58 5
0.58125 5
0.5825 4
0.58375 1
0.585 5
0.58625 4
0.5875 5
0.58875 1
0.59 2
0.59125 3
0.5925 6
0.59375 1
0.595 30
0.59625 3
0.5975 5
0.59875 2
0.6 4
0.60125 6
0.6025 2
0.60375 5
0.605 5
0.60625 2
0.6075 3
0.60875 0
0.61 2
0.61125 3
0.6125 3
0.61375 4
0.615 10
0.61625 1
0.6175 1
0.61875 6
0.62 6
0.62125 0
0.6225 1
0.62375 1
0.625 7
0.62625 6
0.6275 4
0.62875 6
0.63 6
0.63125 1
0.6325 4
0.63375 3
0.635 1
0.63625 7
0.6375 0
0.63875 9
0.64 6
0.64125 1
0.6425 2
0.64375 4
0.645 8
0.64625 1
0.6475 4
0.64875 1
0.65 3
0.65125 5
0.6525 1
0.65375 1
0.655 1
0.65625 3
0.6575 3
0.65875 5
0.66 3
0.66125 3
0.6625 4
0.66375 13
0.665 2
0.66625 10
0.6675 3
0.66875 2
0.67 4
0.67125 2
0.6725 5
0.67375 5
0.675 2
0.67625 2
0.6775 4
0.67875 5
0.68 6
0.68125 6
0.6825 2
0.68375 7
0.685 11
0.68625 4
0.6875 3
0.68875 0
0.69 9
0.69125 8
0.6925 0
0.69375 4
0.695 2
0.69625 2
0.6975 2
0.69875 3
0.7 0
0.70125 3
0.7025 3
0.70375 4
0.705 8
0.70625 0
0.7075 3
0.70875 3
0.71 2
0.71125 1
0.7125 7
0.71375 4
0.715 4
0.71625 4
0.7175 3
0.71875 10
0.72 5
0.72125 0
0.7225 1
0.72375 3
0.725 6
0.72625 0
0.7275 5
0.72875 3
0.73 2
0.73125 3
0.7325 2
0.73375 2
0.735 6
0.73625 0
0.7375 1
0.73875 0
0.74 3
0.74125 2
0.7425 2
0.74375 6
0.745 0
0.74625 1
0.7475 1
0.74875 0
0.75 2
0.75125 3
0.7525 5
0.75375 1
0.755 5
0.75625 4
0.7575 1
0.75875 3
0.76 2
0.76125 2
0.7625 4
0.76375 4
0.765 3
0.76625 4
0.7675 1
0.76875 3
0.77 1
0.77125 3
0.7725 9
0.77375 6
0.775 0
0.77625 3
0.7775 0
0.77875 1
0.78 4
0.78125 1
0.7825 2
0.78375 3
0.785 2
0.78625 5
0.7875 4
0.78875 4
0.79 6
0.79125 2
0.7925 0
0.79375 5
0.795 4
0.79625 2
0.7975 0
0.79875 3
0.8 5
0.80125 5
0.8025 3
0.80375 3
0.805 3
0.80625 3
0.8075 0
0.80875 0
0.81 1
0.81125 7
0.8125 1
0.81375 1
0.815 0
0.81625 1
0.8175 2
0.81875 7
0.82 0
0.82125 3
0.8225 4
0.82375 0
0.825 0
0.82625 3
0.8275 5
0.82875 3
0.83 2
0.83125 2
0.8325 6
0.83375 16
0.835 3
0.83625 5
0.8375 2
0.83875 6
0.84 4
0.84125 2
0.8425 1
0.84375 2
0.845 0
0.84625 4
0.8475 1
0.84875 5
0.85 1
0.85125 0
0.8525 3
0.85375 5
0.855 4
0.85625 5
0.8575 2
0.85875 3
0.86 6
0.86125 1
0.8625 1
0.86375 1
0.865 1
0.86625 7
0.8675 1
0.86875 3
0.87 5
0.87125 2
0.8725 3
0.87375 2
0.875 0
0.87625 1
0.8775 3
0.87875 0
0.88 2
0.88125 1
0.8825 2
0.88375 1
0.885 2
0.88625 1
0.8875 2
0.88875 1
0.89 3
0.89125 1
0.8925 1
0.89375 1
0.895 4
0.89625 1
0.8975 4
0.89875 0
0.9 0
0.90125 0
0.9025 1
0.90375 0
0.905 2
