29-Cu-65(n,&gamma;) ENDF/B-VII.1
1.0E-5,108.188
1.31241E-5,94.437
1.70876E-5,82.7629
2.2426E-5,72.2439
2.91987E-5,63.3134
3.83206E-5,55.2662
4.98935E-5,48.4343
6.54808E-5,42.2783
8.52562E-5,37.0522
1.11891E-4,32.3428
1.45682E-4,28.3445
1.91195E-4,24.7423
2.48937E-4,21.6838
3.26707E-4,18.9274
4.25373E-4,16.5877
5.58264E-4,14.4794
7.26861E-4,12.6898
9.53941E-4,11.077
0.00124203,9.70744
0.00163006,8.47368
0.00212234,7.42596
0.00278538,6.48223
0.00362657,5.68076
0.00475955,4.95902
0.00619694,4.34577
0.00813293,3.79372
0.0105891,3.32452
0.0138972,2.90218
0.0180942,2.54737
0.0234661,2.24165
0.0253,2.15932
0.033204,1.88549
0.0432317,1.64887
0.0567377,1.43783
0.0738726,1.26249
0.0969512,1.10105
0.138572,0.922086
0.18042,0.806516
0.236786,0.703364
0.338436,0.588632
0.440644,0.515616
0.629809,0.43143
0.826569,0.37615
1.07619,0.331233
1.28662,0.301305
1.68858,0.263111
2.41347,0.219992
3.27596,0.188429
4.2653,0.165779
4.96698,0.15247
6.51871,0.13301
8.48738,0.116882
9.90865,0.107223
13.0042,0.0933806
16.9315,0.0818633
19.792,0.0748959
26.361,0.0643542
34.5397,0.0557704
46.068,0.0475257
62.1001,0.0403068
81.1626,0.0345576
106.503,0.0294438
138.849,0.0254206
166.938,0.0237387
171.024,0.0236859
185.331,0.0243552
195.289,0.0263556
201.622,0.0293036
206.352,0.033469
210.293,0.0396419
213.085,0.0469664
215.22,0.055612
217.141,0.0674052
218.636,0.0810655
219.785,0.095953
220.968,0.117581
221.969,0.1439
222.774,0.173617
223.579,0.215392
224.269,0.266393
224.843,0.325877
225.402,0.406973
225.862,0.500758
226.256,0.611718
226.601,0.74449
226.929,0.91859
227.216,1.13002
227.463,1.37969
227.701,1.71614
227.898,2.10859
228.079,2.62102
228.226,3.22653
228.35,3.95024
228.463,4.90735
228.561,6.0975
228.65,7.59511
228.739,9.66977
228.821,12.2934
228.903,15.8054
228.985,20.4365
229.067,26.419
229.159,34.9677
229.271,48.1761
229.419,70.0577
229.698,115.843
229.842,133.183
229.982,140.214
230.0,140.303
230.117,136.204
230.243,123.658
230.447,92.2835
230.655,58.3369
230.778,41.8104
230.882,30.7971
230.972,23.3004
231.051,18.2028
231.136,13.9666
231.219,10.9167
231.301,8.64746
231.386,6.91085
231.465,5.72344
231.563,4.63676
231.662,3.85438
231.787,3.14598
231.918,2.6153
232.076,2.15574
232.266,1.7575
232.496,1.41565
232.751,1.14609
233.038,0.927705
233.383,0.741288
233.728,0.607452
234.147,0.489976
234.59,0.400341
235.107,0.324614
235.666,0.26554
236.323,0.215492
237.029,0.176831
237.834,0.145065
238.737,0.119488
239.886,0.0966273
241.036,0.0805156
242.415,0.0668088
243.795,0.0570524
245.634,0.0478037
247.933,0.0400125
250.324,0.0345357
254.303,0.0287495
258.111,0.0252527
263.062,0.022298
268.774,0.0201261
277.913,0.0180936
287.052,0.0166743
305.33,0.015101
323.608,0.0139707
360.165,0.0125626
421.092,0.0108905
492.76,0.00946882
599.045,0.00801691
695.216,0.0070662
834.512,0.00604403
1001.2,0.00521111
1180.18,0.00470236
1230.75,0.00465461
1279.23,0.00476054
1303.34,0.00503964
1316.16,0.00542267
1324.65,0.00593539
1330.91,0.00661729
1335.95,0.00756563
1338.97,0.00846064
1342.0,0.0097945
1344.52,0.0114869
1346.77,0.0137798
1348.52,0.0164221
1350.06,0.0198044
1351.36,0.0239288
1352.48,0.0289619
1353.46,0.0352332
1354.39,0.043724
1355.16,0.0538241
1355.81,0.0658924
1356.35,0.0799969
1356.83,0.097248
1357.22,0.117353
1357.6,0.144264
1357.86,0.171794
1358.13,0.211158
1358.34,0.256267
1358.55,0.319656
1358.73,0.395245
1358.91,0.498484
1359.09,0.639085
1359.26,0.817702
1359.45,1.0752
1359.63,1.41452
1359.84,1.89378
1360.06,2.57662
1360.32,3.61147
1360.67,5.277
1361.28,8.47876
1361.61,9.7673
1361.92,10.3394
1362.0,10.3679
1362.3,10.0161
1362.6,8.99351
1363.09,6.55013
1363.58,4.04895
1363.86,2.87945
1364.07,2.16479
1364.28,1.60095
1364.47,1.20978
1364.66,0.922986
1364.82,0.7232
1364.99,0.570995
1365.16,0.456188
1365.35,0.359666
1365.53,0.293485
1365.74,0.237447
1365.98,0.193403
1366.24,0.159431
1366.58,0.130197
1366.97,0.106172
1367.4,0.0880984
1367.96,0.0712594
1368.61,0.0575469
1369.32,0.0469209
1370.12,0.0385209
1371.07,0.0313875
1372.19,0.0255859
1373.46,0.0209928
1374.89,0.0174123
1376.33,0.01488
1378.18,0.0125619
1380.44,0.0106412
1382.69,0.00932142
1385.47,0.0081957
1389.35,0.00716768
1394.75,0.00629529
1402.21,0.00561803
1412.16,0.00513917
1428.95,0.00475387
1455.89,0.00452552
1536.71,0.00435368
1550.18,0.00435028
1684.88,0.00450754
1810.6,0.00493601
1918.36,0.00565148
1999.18,0.00655909
2062.04,0.00763787
2115.92,0.00900108
2169.8,0.0110348
2205.72,0.0129949
2241.64,0.0157326
2273.07,0.0191363
2300.01,0.023228
2322.46,0.0279051
2344.91,0.034429
2365.11,0.0426776
2383.07,0.0530648
2398.79,0.0659304
2411.36,0.0798468
2423.49,0.0983767
2434.26,0.121114
2443.69,0.148402
2453.12,0.186302
2461.2,0.23191
2467.94,0.284027
2474.67,0.356066
2480.56,0.44452
2485.5,0.54639
2490.11,0.676403
2494.15,0.832438
2498.02,1.03747
2501.61,1.30127
2504.87,1.63365
2507.9,2.06453
2510.65,2.60823
2513.17,3.29718
2515.42,4.12732
2517.66,5.23629
2520.2,6.90848
2525.95,11.6979
2527.74,12.5905
2528.73,12.7379
2530.08,12.5012
2532.32,11.1619
2537.35,6.89233
2539.78,5.28336
2542.02,4.15847
2544.27,3.3165
2546.62,2.65843
2549.32,2.10691
2552.01,1.70329
2555.15,1.35875
2558.63,1.0835
2562.23,0.876957
2566.49,0.699038
2570.98,0.56382
2576.15,0.451529
2581.53,0.366301
2586.92,0.303
2593.66,0.244744
2600.39,0.201589
2608.47,0.163359
2617.9,0.131113
2628.68,0.104777
2640.35,0.0843703
2654.27,0.067092
2668.19,0.0548125
2683.91,0.0445685
2701.86,0.0361511
2722.07,0.0293679
2744.52,0.0239422
2771.46,0.0193496
2802.89,0.0156356
2834.32,0.0130249
2870.24,0.0109042
2915.14,0.00908531
2960.04,0.00783346
3013.92,0.00683666
3067.8,0.00622459
3096.99,0.00608056
3112.7,0.00620668
3122.03,0.00660167
3126.85,0.00721245
3129.41,0.00786193
3131.54,0.00887753
3133.1,0.0102206
3134.23,0.011888
3135.02,0.0138225
3135.58,0.0160756
3136.03,0.0189874
3136.37,0.0223762
3136.65,0.0265013
3136.93,0.0324188
3137.19,0.0399434
3137.42,0.0494668
3137.65,0.0616562
3137.88,0.0776531
3138.1,0.0983788
3138.36,0.129869
3138.64,0.172965
3138.94,0.233676
3139.29,0.324399
3139.69,0.454241
3140.48,0.761822
3141.1,0.993896
3141.56,1.10954
3142.0,1.14857
3142.46,1.10562
3142.96,0.973702
3143.83,0.638452
3144.39,0.42491
3144.77,0.306313
3145.1,0.223697
3145.39,0.168471
3145.67,0.125599
3145.92,0.096412
3146.14,0.0761281
3146.36,0.0608669
3146.58,0.0491523
3146.85,0.0387439
3147.11,0.031316
3147.37,0.0260295
3147.66,0.0219508
3147.99,0.0187776
3148.39,0.0161391
3148.88,0.0140787
3149.54,0.0122985
3150.53,0.0105993
3151.78,0.00927671
3153.54,0.00817165
3155.64,0.00740193
3158.85,0.00675435
3163.67,0.00627343
3173.3,0.00588887
3195.77,0.0056265
3240.73,0.00553993
3308.16,0.00571659
3378.76,0.00624852
3417.23,0.00669969
3455.7,0.0072956
3513.41,0.00878039
3539.06,0.00987011
3555.08,0.0110587
3564.7,0.0122827
3571.11,0.0138846
3575.23,0.0157522
3578.32,0.0181607
3580.49,0.0209378
3582.21,0.0243647
3583.64,0.02876
3584.79,0.0341063
3585.65,0.0400354
3586.33,0.0469386
3586.9,0.0554514
3587.36,0.0656667
3587.76,0.0791012
3588.11,0.0962387
3588.39,0.116697
3588.68,0.145398
3588.94,0.181048
3589.19,0.229263
3589.45,0.293915
3589.71,0.379553
3589.97,0.491259
3590.25,0.652452
3590.57,0.882952
3590.92,1.21251
3591.32,1.6917
3591.85,2.47781
3592.89,4.15755
3593.45,4.80188
3593.95,5.03134
3594.0,5.03305
3594.48,4.85651
3595.01,4.30298
3595.89,2.91355
3596.53,1.90854
3596.94,1.37524
3597.3,1.00116
3597.61,0.748707
3597.91,0.557155
3598.2,0.418776
3598.45,0.326331
3598.7,0.255578
3598.96,0.200952
3599.23,0.158745
3599.46,0.130999
3599.76,0.105764
3600.06,0.0879802
3600.42,0.0731813
3600.86,0.0610232
3601.3,0.0529897
3601.87,0.0455581
3602.74,0.0381467
3603.6,0.0331485
3604.76,0.0285776
3606.2,0.0248044
3608.17,0.0215659
3610.81,0.0190513
3613.98,0.0173415
3618.21,0.0161857
3624.56,0.0155166
3630.72,0.0153945
3649.18,0.0162915
3673.8,0.0187434
3698.42,0.0223498
3723.04,0.0274853
3744.58,0.0339174
3763.05,0.0415376
3779.67,0.0511775
3794.44,0.0630923
3807.36,0.0775063
3818.44,0.0943954
3829.52,0.117676
3838.75,0.144359
3847.83,0.180929
3855.45,0.223632
3862.76,0.28048
3868.91,0.347104
3874.45,0.429384
3879.38,0.529237
3883.99,0.6571
3888.3,0.821263
3892.3,1.03189
3896.0,1.30057
3899.38,1.63884
3902.46,2.05482
3905.61,2.62641
3908.84,3.39976
3916.31,5.63041
3918.77,6.09627
3920.25,6.1886
3922.22,6.06359
3924.68,5.56217
3932.13,3.3297
3935.46,2.54842
3938.54,2.00627
3941.62,1.60089
3945.08,1.26483
3948.62,1.01381
3952.78,0.800191
3957.01,0.643116
3961.85,0.51276
3967.39,0.406281
3972.93,0.329458
3979.7,0.261715
3987.4,0.207327
3995.71,0.165603
4004.48,0.134063
4014.17,0.108706
4025.87,0.0867817
4038.79,0.0696378
4053.56,0.055824
4070.18,0.0449298
4088.65,0.0364616
4110.81,0.0295286
4135.42,0.024269
4160.04,0.0207334
4190.82,0.0179062
4215.44,0.0165952
4246.21,0.0159331
4252.37,0.0159126
4277.73,0.0163485
4302.0,0.0176381
4325.0,0.0199827
4344.17,0.0232413
4359.5,0.0271938
4372.92,0.0321923
4384.42,0.0381914
4395.92,0.046756
4405.5,0.0569389
4414.13,0.069814
4421.79,0.0858771
4428.5,0.105454
4434.63,0.130234
4440.29,0.162256
4444.98,0.199198
4449.58,0.249355
4453.42,0.307473
4456.87,0.379132
4459.93,0.465927
4462.81,0.576852
4465.49,0.718984
4467.98,0.900966
4470.28,1.13259
4472.39,1.42341
4474.31,1.77965
4476.32,2.27993
4478.43,2.97189
4483.39,4.95284
4484.93,5.3238
4486.0,5.40518
4487.38,5.27054
4489.41,4.66629
4493.77,2.89454
4495.87,2.22204
4497.79,1.7555
4499.7,1.4044
4501.86,1.1122
4504.11,0.889337
4506.7,0.703928
4509.38,0.565162
4512.5,0.449055
4515.95,0.357277
4519.49,0.289224
4523.71,0.230847
4528.07,0.187321
4532.77,0.152922
4538.13,0.124217
4544.84,0.0985476
4551.55,0.0801732
4559.21,0.0649677
4566.88,0.053831
4576.46,0.0436534
4586.24,0.036111
4596.78,0.0301364
4610.58,0.0243831
4624.0,0.0203491
4639.33,0.0169615
4658.5,0.0139156
4681.5,0.0113505
4708.33,0.00928189
4735.16,0.00783642
4769.66,0.00651866
4807.99,0.00549806
4853.99,0.00465677
4915.32,0.00391129
4991.99,0.00332212
5083.99,0.0028953
5191.32,0.00260973
5321.65,0.00245751
5390.65,0.0024362
5528.64,0.00251789
5651.31,0.00273938
5751.93,0.00308476
5795.65,0.00337799
5813.14,0.00362387
5825.73,0.00392301
5831.5,0.00421898
5835.35,0.00454444
5839.14,0.00507489
5841.94,0.00573902
5844.27,0.00665881
5846.03,0.00779812
5847.33,0.00912079
5848.1,0.0102945
5848.88,0.0120399
5849.5,0.0142571
5849.97,0.0168393
5850.36,0.0200215
5850.75,0.0246785
5851.1,0.0307485
5851.42,0.0386362
5851.73,0.0490093
5852.04,0.0630099
5852.35,0.0816813
5852.66,0.106224
5852.97,0.137948
5853.32,0.182946
5853.71,0.248591
5854.11,0.336339
5854.63,0.476821
5855.28,0.693144
5856.59,1.1703
5857.3,1.35394
5857.93,1.42078
5858.0,1.42146
5858.58,1.37511
5859.16,1.24539
5860.09,0.926641
5861.11,0.558428
5861.68,0.38861
5862.13,0.281047
5862.52,0.208362
5862.88,0.156202
5863.2,0.119264
5863.52,0.0912523
5863.84,0.0699105
5864.15,0.0539118
5864.46,0.0423892
5864.78,0.0335684
5865.07,0.0277874
5865.42,0.0225503
5865.78,0.0188817
5866.21,0.0158555
5866.7,0.0135126
5867.29,0.0117087
5868.1,0.0100688
5869.27,0.00858366
5870.85,0.00732685
5872.92,0.00632494
5875.41,0.00560673
5878.73,0.00505211
5883.7,0.00461819
5890.33,0.00435777
5905.89,0.00419621
5940.9,0.00438372
5999.24,0.00506896
6052.56,0.00603353
6090.31,0.00701344
6112.96,0.00778685
6138.84,0.00894278
6148.49,0.00973278
6153.32,0.010511
6155.94,0.0113481
6157.44,0.0122793
6158.45,0.013528
6159.13,0.0151749
6159.66,0.0174242
6160.1,0.020433
6160.45,0.0239734
6160.85,0.0296722
6161.2,0.036794
6161.55,0.0464417
6161.88,0.0584697
6162.28,0.0772065
6162.67,0.101567
6163.13,0.137079
6163.7,0.19351
6164.58,0.30144
6165.55,0.424182
6166.3,0.491238
6166.96,0.514083
6167.0,0.514159
6167.64,0.49492
6168.33,0.437388
6169.49,0.293078
6170.33,0.191488
6170.85,0.139168
6171.29,0.104262
6171.68,0.0801803
6172.05,0.061713
6172.43,0.0477006
6172.81,0.0373488
6173.19,0.0298837
6173.56,0.0246105
6173.94,0.020947
6174.32,0.0184301
6174.82,0.0162655
6175.45,0.0147076
6176.46,0.0134796
6177.46,0.0128791
6179.88,0.0122296
6184.7,0.0119228
6195.16,0.0123168
6219.7,0.0145024
6242.46,0.0175567
6261.01,0.0214466
6268.79,0.0240865
6274.63,0.0271607
6278.52,0.0304364
6281.44,0.0343471
6283.63,0.0390143
6285.45,0.0452814
6286.67,0.0519913
6287.64,0.0607241
6288.19,0.0684556
6288.73,0.080163
6289.19,0.0951149
6289.55,0.112487
6289.92,0.136974
6290.24,0.167337
6290.56,0.207364
6290.88,0.260771
6291.2,0.331227
6291.52,0.422896
6291.89,0.562656
6292.27,0.748832
6292.69,1.01253
6293.16,1.39248
6293.71,1.94089
6294.67,3.10396
6295.69,4.32905
6296.36,4.87182
6297.0,5.05962
6297.67,4.86157
6298.35,4.29839
6299.52,2.87556
6300.33,1.90688
6300.89,1.34967
6301.35,0.988023
6301.77,0.730303
6302.14,0.555029
6302.51,0.420128
6302.86,0.321209
6303.2,0.251433
6303.53,0.19946
6303.87,0.161212
6304.25,0.130394
6304.66,0.106921
6305.08,0.0911048
6305.5,0.0802892
6306.17,0.0692035
6306.84,0.0623476
6307.85,0.0558918
6309.52,0.049726
6310.86,0.046817
6313.54,0.0436378
6317.57,0.0420168
6318.91,0.0419328
6325.94,0.0434119
6337.67,0.0495185
6349.74,0.0592998
6361.8,0.0733359
6371.86,0.0895972
6381.91,0.112395
6390.54,0.139951
6397.91,0.172436
6404.45,0.211836
6410.48,0.261458
6416.09,0.324838
6421.46,0.408932
6425.98,0.506958
6430.5,0.642525
6434.52,0.8101
6438.04,1.00999
6441.65,1.28785
6445.0,1.63588
6448.72,2.14575
6456.98,3.51852
6459.54,3.77448
6461.16,3.83066
6463.88,3.69477
6467.51,3.16111
6473.69,2.10043
6477.22,1.62131
6480.76,1.25976
6484.06,1.00849
6487.83,0.796343
6491.74,0.636154
6496.06,0.507872
6500.64,0.408487
6506.04,0.323555
6511.88,0.257876
6518.18,0.207622
6525.78,0.163936
6533.62,0.131742
6541.46,0.108241
6551.8,0.0857932
6562.49,0.0694415
6570.61,0.0606464
6574.67,0.0581643
6576.19,0.0595082
6576.97,0.0627452
6577.53,0.0674956
6578.09,0.0756642
6578.65,0.0888841
6579.18,0.107914
6579.75,0.136962
6580.39,0.180942
6581.19,0.252743
6582.62,0.390576
6583.39,0.439267
6583.99,0.451763
6584.7,0.434153
6585.49,0.378894
6587.36,0.197339
6588.01,0.14602
6588.55,0.113817
6589.09,0.0900186
6589.5,0.0765602
6590.06,0.0640648
6590.62,0.0561385
6591.41,0.0498381
6592.42,0.0460125
6594.96,0.042421
6602.87,0.0371651
6617.62,0.030786
6635.7,0.0252343
6655.75,0.0207689
6675.6,0.0176815
6695.46,0.0152282
6728.2,0.0125585
6737.0,0.0122762
6741.8,0.0125967
6743.8,0.0133313
6744.8,0.0144709
6745.43,0.0159885
6745.95,0.0182158
6746.4,0.0212431
6746.85,0.0257916
6747.23,0.0311623
6747.6,0.0383801
6747.98,0.0478507
6748.39,0.0613262
6748.89,0.0824975
6749.45,0.112923
6750.3,0.170082
6751.48,0.253998
6752.2,0.291394
6752.89,0.306902
6753.0,0.307189
6753.64,0.296866
6754.32,0.265869
6755.4,0.191736
6756.37,0.123317
6756.97,0.0888416
6757.47,0.066116
6757.91,0.0506715
6758.35,0.0389485
6758.75,0.0309884
6759.15,0.0251585
6759.6,0.0205631
6760.1,0.0172184
6760.6,0.0151211
6761.2,0.0136193
6761.8,0.0127518
6763.3,0.0117395
6765.8,0.0110579
6773.0,0.0102478
6790.41,0.00939848
6819.64,0.00846456
6878.71,0.00734605
6943.7,0.0068905
6969.69,0.00707569
6983.4,0.00751577
6990.82,0.0081313
6995.11,0.00883648
6998.69,0.00987407
7001.55,0.0113349
7003.69,0.0132117
7005.12,0.0152204
7006.22,0.017604
7007.1,0.0206311
7007.76,0.0242966
7008.31,0.0291507
